,target,sex,race,age_cat,priors_count,c_charge_degree
50,0,0.0,0.0,Less than 25,1 to 3,M
51,0,1.0,1.0,Greater than 45,1 to 3,M
52,1,0.0,1.0,25 to 45,More than 3,F
53,0,0.0,0.0,25 to 45,0,M
54,1,0.0,0.0,Greater than 45,1 to 3,F
55,1,1.0,0.0,Less than 25,1 to 3,M
56,0,0.0,0.0,25 to 45,1 to 3,F
57,0,0.0,0.0,25 to 45,More than 3,F
58,1,0.0,0.0,25 to 45,More than 3,F
59,0,0.0,1.0,25 to 45,1 to 3,F
60,1,0.0,0.0,25 to 45,More than 3,M
61,0,0.0,0.0,Less than 25,0,F
62,0,0.0,0.0,Less than 25,0,M
63,1,0.0,0.0,25 to 45,0,F
64,0,0.0,0.0,Greater than 45,More than 3,F
65,1,0.0,1.0,Greater than 45,1 to 3,F
66,1,1.0,1.0,25 to 45,1 to 3,F
67,0,0.0,0.0,Less than 25,More than 3,M
68,0,0.0,0.0,Greater than 45,1 to 3,M
69,0,0.0,0.0,25 to 45,0,F
70,0,0.0,1.0,Greater than 45,0,M
71,1,0.0,1.0,Less than 25,1 to 3,F
72,1,0.0,0.0,25 to 45,1 to 3,F
73,0,0.0,1.0,Less than 25,0,F
74,1,0.0,0.0,Less than 25,1 to 3,F
75,1,0.0,1.0,Greater than 45,1 to 3,M
76,1,1.0,0.0,25 to 45,More than 3,F
77,1,0.0,0.0,Less than 25,1 to 3,F
78,0,1.0,1.0,Less than 25,0,F
79,0,0.0,0.0,25 to 45,More than 3,F
80,1,0.0,0.0,Less than 25,1 to 3,F
81,0,0.0,0.0,25 to 45,More than 3,F
82,0,0.0,0.0,25 to 45,1 to 3,M
83,0,1.0,1.0,25 to 45,1 to 3,F
84,0,0.0,0.0,Less than 25,0,F
85,1,0.0,1.0,25 to 45,1 to 3,F
86,0,0.0,0.0,25 to 45,1 to 3,M
87,0,0.0,0.0,Greater than 45,0,M
88,0,0.0,1.0,25 to 45,1 to 3,M
89,1,0.0,0.0,Greater than 45,More than 3,F
90,1,1.0,0.0,25 to 45,1 to 3,M
91,1,0.0,1.0,Greater than 45,1 to 3,M
92,1,1.0,0.0,25 to 45,More than 3,M
93,0,0.0,0.0,25 to 45,0,F
94,1,0.0,1.0,Less than 25,1 to 3,M
95,0,0.0,0.0,Less than 25,1 to 3,F
96,1,0.0,1.0,25 to 45,1 to 3,F
97,1,0.0,0.0,25 to 45,1 to 3,F
98,0,0.0,1.0,Less than 25,0,F
99,1,1.0,1.0,Greater than 45,0,M
100,0,0.0,0.0,Less than 25,1 to 3,F
101,1,0.0,1.0,25 to 45,More than 3,M
102,0,0.0,0.0,Greater than 45,1 to 3,F
103,1,0.0,0.0,25 to 45,0,M
104,1,0.0,1.0,25 to 45,More than 3,M
105,0,1.0,0.0,25 to 45,More than 3,F
106,1,0.0,0.0,25 to 45,More than 3,M
107,1,1.0,0.0,25 to 45,More than 3,F
108,1,0.0,0.0,Less than 25,1 to 3,F
109,0,0.0,0.0,25 to 45,More than 3,F
110,0,0.0,1.0,25 to 45,0,M
111,1,0.0,0.0,Less than 25,1 to 3,F
112,1,0.0,0.0,Less than 25,1 to 3,M
113,1,0.0,0.0,Less than 25,1 to 3,F
114,0,0.0,1.0,25 to 45,1 to 3,M
115,1,1.0,0.0,25 to 45,More than 3,F
116,1,1.0,0.0,Greater than 45,More than 3,M
117,1,0.0,1.0,Greater than 45,More than 3,F
118,0,0.0,0.0,Less than 25,1 to 3,F
119,0,0.0,1.0,25 to 45,0,M
120,0,0.0,0.0,Greater than 45,More than 3,M
121,0,0.0,0.0,Less than 25,0,F
122,0,0.0,1.0,Less than 25,1 to 3,F
123,1,0.0,0.0,Less than 25,1 to 3,F
124,0,0.0,0.0,25 to 45,1 to 3,F
125,1,0.0,0.0,25 to 45,More than 3,M
126,0,0.0,0.0,25 to 45,1 to 3,F
127,1,0.0,1.0,25 to 45,1 to 3,F
128,0,0.0,1.0,Greater than 45,0,M
129,0,0.0,1.0,25 to 45,More than 3,F
130,0,0.0,1.0,Greater than 45,1 to 3,M
131,0,0.0,1.0,Less than 25,0,M
132,0,0.0,0.0,25 to 45,0,M
133,1,0.0,0.0,Less than 25,0,F
134,0,0.0,0.0,25 to 45,0,F
135,1,0.0,0.0,25 to 45,More than 3,F
136,1,1.0,0.0,25 to 45,1 to 3,F
137,0,0.0,1.0,Less than 25,0,M
138,0,0.0,0.0,25 to 45,More than 3,F
139,1,0.0,0.0,25 to 45,More than 3,F
140,1,0.0,1.0,Greater than 45,More than 3,F
141,1,0.0,0.0,25 to 45,More than 3,M
142,0,0.0,0.0,25 to 45,0,M
143,1,0.0,0.0,Less than 25,0,F
144,0,0.0,1.0,Greater than 45,More than 3,F
145,1,0.0,0.0,25 to 45,More than 3,F
146,1,0.0,0.0,25 to 45,More than 3,F
147,0,0.0,1.0,Greater than 45,0,F
148,1,0.0,0.0,Less than 25,1 to 3,F
149,1,1.0,1.0,25 to 45,1 to 3,M
150,1,0.0,0.0,25 to 45,More than 3,F
151,0,0.0,0.0,25 to 45,0,M
152,1,0.0,0.0,Greater than 45,1 to 3,M
153,0,1.0,0.0,25 to 45,1 to 3,F
154,1,0.0,0.0,25 to 45,More than 3,F
155,0,0.0,0.0,Greater than 45,1 to 3,F
156,0,0.0,0.0,25 to 45,More than 3,M
157,1,1.0,1.0,25 to 45,More than 3,F
158,0,0.0,0.0,25 to 45,0,M
159,1,1.0,0.0,Less than 25,0,M
160,1,0.0,1.0,Less than 25,0,M
161,1,0.0,1.0,Less than 25,1 to 3,F
162,1,0.0,0.0,Less than 25,1 to 3,F
163,0,0.0,1.0,Greater than 45,1 to 3,M
164,0,1.0,1.0,Greater than 45,More than 3,M
165,0,1.0,0.0,25 to 45,More than 3,F
166,1,0.0,1.0,25 to 45,1 to 3,M
167,1,0.0,0.0,25 to 45,More than 3,F
168,0,1.0,1.0,Less than 25,1 to 3,M
169,0,0.0,0.0,25 to 45,1 to 3,M
170,1,1.0,0.0,25 to 45,More than 3,F
171,0,0.0,0.0,Less than 25,1 to 3,M
172,1,0.0,1.0,25 to 45,More than 3,F
173,1,0.0,0.0,25 to 45,More than 3,F
174,0,1.0,1.0,Greater than 45,1 to 3,M
175,1,0.0,0.0,Less than 25,1 to 3,F
176,1,0.0,0.0,Less than 25,0,F
177,1,0.0,0.0,Less than 25,1 to 3,F
178,1,0.0,0.0,Less than 25,0,F
179,1,0.0,0.0,Less than 25,1 to 3,M
180,0,0.0,0.0,Greater than 45,0,M
181,0,0.0,1.0,25 to 45,1 to 3,F
182,0,0.0,1.0,Greater than 45,0,F
183,0,0.0,0.0,Greater than 45,0,M
184,0,0.0,0.0,Less than 25,1 to 3,F
185,1,0.0,1.0,25 to 45,More than 3,F
186,1,0.0,0.0,25 to 45,More than 3,F
187,0,0.0,1.0,25 to 45,1 to 3,F
188,0,0.0,1.0,Less than 25,0,M
189,0,0.0,1.0,25 to 45,1 to 3,M
190,0,0.0,0.0,25 to 45,More than 3,M
191,0,1.0,0.0,25 to 45,0,F
192,1,0.0,0.0,Less than 25,0,M
193,0,1.0,1.0,Greater than 45,1 to 3,F
194,1,0.0,1.0,Less than 25,1 to 3,F
195,1,0.0,1.0,25 to 45,More than 3,M
196,0,0.0,0.0,25 to 45,1 to 3,F
197,0,0.0,1.0,25 to 45,0,M
198,0,0.0,0.0,25 to 45,1 to 3,F
199,0,0.0,0.0,Greater than 45,More than 3,F
200,1,0.0,1.0,25 to 45,More than 3,F
201,0,0.0,1.0,25 to 45,1 to 3,M
202,0,1.0,0.0,Greater than 45,More than 3,F
203,0,0.0,0.0,25 to 45,1 to 3,M
204,0,0.0,0.0,Less than 25,0,F
205,1,0.0,0.0,25 to 45,0,M
206,0,0.0,0.0,Greater than 45,1 to 3,F
207,0,0.0,0.0,25 to 45,0,M
208,1,0.0,0.0,25 to 45,1 to 3,M
209,1,1.0,0.0,Less than 25,0,M
210,0,0.0,1.0,Less than 25,0,F
211,1,0.0,0.0,Greater than 45,More than 3,M
212,0,1.0,1.0,25 to 45,1 to 3,F
213,0,0.0,1.0,25 to 45,1 to 3,M
214,0,0.0,1.0,25 to 45,0,F
215,1,0.0,1.0,25 to 45,0,M
216,1,0.0,1.0,25 to 45,More than 3,F
217,1,0.0,0.0,25 to 45,More than 3,F
218,0,0.0,0.0,25 to 45,More than 3,F
219,1,0.0,0.0,Greater than 45,More than 3,M
220,1,0.0,0.0,25 to 45,More than 3,F
221,0,0.0,1.0,Greater than 45,0,M
222,0,1.0,1.0,Less than 25,0,F
223,0,0.0,0.0,25 to 45,1 to 3,F
224,0,1.0,0.0,25 to 45,1 to 3,F
225,0,0.0,0.0,Less than 25,0,F
226,1,1.0,1.0,25 to 45,More than 3,M
227,0,1.0,1.0,Greater than 45,0,M
228,1,0.0,0.0,25 to 45,1 to 3,F
229,0,0.0,1.0,25 to 45,1 to 3,M
230,0,0.0,1.0,Less than 25,More than 3,F
231,0,1.0,1.0,25 to 45,0,M
232,1,0.0,0.0,25 to 45,More than 3,F
233,1,1.0,1.0,25 to 45,1 to 3,F
234,1,0.0,0.0,25 to 45,More than 3,F
235,0,1.0,1.0,25 to 45,1 to 3,F
236,0,0.0,1.0,25 to 45,1 to 3,F
237,1,0.0,0.0,Less than 25,1 to 3,F
238,1,0.0,0.0,25 to 45,More than 3,F
239,1,0.0,0.0,25 to 45,More than 3,F
240,0,1.0,0.0,25 to 45,More than 3,F
241,0,1.0,1.0,25 to 45,0,F
242,1,0.0,0.0,25 to 45,More than 3,M
243,0,1.0,1.0,25 to 45,0,M
244,0,0.0,0.0,Greater than 45,1 to 3,F
245,0,0.0,0.0,Greater than 45,More than 3,F
246,1,0.0,0.0,Less than 25,0,F
247,1,0.0,0.0,25 to 45,More than 3,F
248,0,0.0,0.0,25 to 45,0,F
249,0,0.0,0.0,Less than 25,0,F
250,0,1.0,0.0,25 to 45,1 to 3,F
251,1,0.0,0.0,Greater than 45,More than 3,F
252,0,0.0,0.0,25 to 45,More than 3,F
253,1,0.0,1.0,25 to 45,0,F
254,1,0.0,0.0,Greater than 45,1 to 3,F
255,0,0.0,1.0,25 to 45,0,F
256,1,0.0,0.0,Less than 25,1 to 3,F
257,1,0.0,0.0,Greater than 45,More than 3,F
258,0,1.0,1.0,25 to 45,1 to 3,F
259,0,0.0,1.0,Greater than 45,0,F
260,1,0.0,1.0,25 to 45,1 to 3,F
261,1,0.0,0.0,25 to 45,More than 3,M
262,0,1.0,1.0,Greater than 45,0,M
263,0,0.0,0.0,Less than 25,0,F
264,0,0.0,0.0,25 to 45,More than 3,F
265,1,0.0,1.0,Greater than 45,More than 3,F
266,0,0.0,1.0,25 to 45,0,F
267,1,0.0,0.0,25 to 45,More than 3,F
268,1,0.0,0.0,25 to 45,More than 3,F
269,1,0.0,0.0,25 to 45,More than 3,M
270,0,1.0,0.0,25 to 45,0,M
271,1,0.0,0.0,Less than 25,1 to 3,F
272,1,0.0,0.0,Greater than 45,More than 3,M
273,0,0.0,0.0,25 to 45,1 to 3,F
274,0,0.0,0.0,25 to 45,More than 3,M
275,1,0.0,0.0,25 to 45,More than 3,M
276,1,1.0,0.0,25 to 45,More than 3,M
277,1,0.0,1.0,Greater than 45,More than 3,F
278,0,1.0,0.0,25 to 45,More than 3,F
279,1,0.0,0.0,25 to 45,More than 3,F
280,0,1.0,1.0,Greater than 45,0,F
281,0,0.0,1.0,25 to 45,0,F
282,0,0.0,1.0,Greater than 45,0,M
283,0,1.0,0.0,25 to 45,1 to 3,M
284,0,0.0,1.0,Greater than 45,1 to 3,F
285,0,1.0,1.0,Greater than 45,0,M
286,1,0.0,0.0,Less than 25,0,M
287,1,0.0,0.0,25 to 45,More than 3,M
288,0,1.0,0.0,25 to 45,1 to 3,F
289,0,0.0,0.0,25 to 45,More than 3,M
290,1,0.0,0.0,Less than 25,1 to 3,F
291,0,1.0,0.0,Less than 25,0,M
292,0,0.0,0.0,Less than 25,0,F
293,0,0.0,1.0,Greater than 45,1 to 3,M
294,1,0.0,0.0,Less than 25,0,F
295,0,0.0,0.0,Less than 25,1 to 3,F
296,1,0.0,1.0,Less than 25,1 to 3,F
297,1,0.0,1.0,25 to 45,More than 3,F
298,0,1.0,1.0,25 to 45,0,F
299,1,0.0,1.0,Less than 25,0,F
300,0,0.0,0.0,Less than 25,0,M
301,0,0.0,0.0,25 to 45,1 to 3,M
302,1,0.0,0.0,25 to 45,More than 3,F
303,1,0.0,0.0,25 to 45,1 to 3,F
304,1,0.0,0.0,25 to 45,1 to 3,F
305,0,0.0,1.0,Greater than 45,1 to 3,F
306,0,0.0,0.0,Greater than 45,0,M
307,0,1.0,0.0,Greater than 45,1 to 3,M
308,0,0.0,0.0,25 to 45,1 to 3,M
309,0,0.0,0.0,25 to 45,More than 3,F
310,0,0.0,0.0,Greater than 45,More than 3,M
311,0,0.0,1.0,Greater than 45,1 to 3,F
312,1,0.0,0.0,25 to 45,1 to 3,M
313,1,0.0,1.0,Less than 25,0,F
314,1,0.0,0.0,25 to 45,1 to 3,F
315,0,0.0,1.0,Greater than 45,1 to 3,F
316,1,0.0,1.0,25 to 45,1 to 3,F
317,1,0.0,0.0,25 to 45,More than 3,F
318,0,0.0,0.0,25 to 45,0,F
319,1,0.0,1.0,Less than 25,1 to 3,F
320,1,1.0,1.0,Greater than 45,1 to 3,M
321,0,0.0,0.0,25 to 45,0,F
322,0,0.0,1.0,Less than 25,1 to 3,F
323,1,0.0,1.0,25 to 45,1 to 3,F
324,0,0.0,0.0,25 to 45,1 to 3,M
325,0,0.0,0.0,Greater than 45,1 to 3,F
326,1,0.0,0.0,Less than 25,1 to 3,F
327,0,0.0,1.0,Less than 25,0,M
328,1,0.0,0.0,Less than 25,0,F
329,0,0.0,1.0,25 to 45,0,F
330,1,0.0,1.0,25 to 45,1 to 3,M
331,0,0.0,0.0,25 to 45,0,F
332,0,1.0,1.0,25 to 45,0,M
333,1,1.0,0.0,25 to 45,0,M
334,0,0.0,0.0,Less than 25,1 to 3,F
335,0,0.0,0.0,Greater than 45,More than 3,F
336,1,1.0,0.0,25 to 45,More than 3,M
337,1,0.0,1.0,25 to 45,1 to 3,F
338,0,0.0,0.0,Less than 25,1 to 3,M
339,0,0.0,0.0,25 to 45,1 to 3,M
340,0,0.0,0.0,Greater than 45,1 to 3,M
341,1,0.0,0.0,25 to 45,0,F
342,0,0.0,0.0,Less than 25,1 to 3,F
343,0,0.0,0.0,25 to 45,1 to 3,F
344,1,0.0,0.0,25 to 45,More than 3,M
345,1,0.0,1.0,Greater than 45,1 to 3,F
346,0,0.0,1.0,25 to 45,1 to 3,F
347,0,0.0,0.0,Greater than 45,More than 3,F
348,0,0.0,0.0,Greater than 45,0,F
349,1,1.0,0.0,25 to 45,More than 3,M
350,1,0.0,0.0,Less than 25,1 to 3,F
351,1,0.0,0.0,Less than 25,1 to 3,F
352,0,0.0,1.0,25 to 45,0,M
353,0,0.0,0.0,25 to 45,1 to 3,F
354,0,0.0,1.0,25 to 45,1 to 3,F
355,1,0.0,0.0,25 to 45,More than 3,F
356,0,0.0,1.0,Greater than 45,0,F
357,0,0.0,0.0,Less than 25,0,M
358,0,0.0,1.0,Greater than 45,0,M
359,0,0.0,0.0,25 to 45,0,F
360,1,0.0,0.0,25 to 45,More than 3,F
361,0,0.0,0.0,Greater than 45,More than 3,M
362,0,0.0,0.0,Less than 25,1 to 3,M
363,0,0.0,1.0,Greater than 45,0,F
364,0,0.0,0.0,25 to 45,1 to 3,M
365,1,0.0,1.0,25 to 45,0,M
366,1,0.0,0.0,25 to 45,More than 3,F
367,0,0.0,0.0,25 to 45,0,M
368,0,1.0,0.0,Less than 25,0,F
369,0,0.0,1.0,Greater than 45,1 to 3,M
370,0,0.0,1.0,25 to 45,1 to 3,M
371,0,0.0,1.0,25 to 45,0,F
372,1,0.0,0.0,25 to 45,1 to 3,F
373,1,0.0,0.0,Less than 25,0,F
374,0,0.0,1.0,25 to 45,1 to 3,M
375,1,0.0,0.0,Greater than 45,More than 3,F
376,1,0.0,0.0,25 to 45,1 to 3,F
377,1,0.0,0.0,Greater than 45,More than 3,M
378,0,1.0,0.0,Less than 25,0,F
379,0,0.0,1.0,25 to 45,0,F
380,0,0.0,0.0,25 to 45,1 to 3,M
381,0,0.0,0.0,Less than 25,0,F
382,1,0.0,0.0,Less than 25,1 to 3,F
383,1,0.0,0.0,Greater than 45,More than 3,F
384,1,0.0,0.0,25 to 45,More than 3,F
385,0,0.0,1.0,Less than 25,1 to 3,F
386,1,0.0,0.0,25 to 45,More than 3,F
387,1,0.0,1.0,25 to 45,1 to 3,F
388,1,0.0,1.0,Greater than 45,1 to 3,M
389,1,0.0,0.0,25 to 45,More than 3,F
390,0,0.0,1.0,25 to 45,1 to 3,F
391,0,1.0,1.0,25 to 45,1 to 3,M
392,1,0.0,0.0,25 to 45,More than 3,M
393,1,0.0,1.0,25 to 45,1 to 3,M
394,1,0.0,0.0,25 to 45,1 to 3,M
395,0,0.0,0.0,Greater than 45,More than 3,M
396,1,0.0,0.0,Less than 25,1 to 3,F
397,1,0.0,0.0,25 to 45,1 to 3,M
398,0,1.0,1.0,Less than 25,0,F
399,0,0.0,0.0,Greater than 45,1 to 3,F
400,1,0.0,1.0,25 to 45,More than 3,F
401,0,1.0,0.0,25 to 45,0,M
402,1,0.0,0.0,Less than 25,1 to 3,F
403,0,1.0,1.0,25 to 45,0,M
404,1,0.0,1.0,Less than 25,0,F
405,0,1.0,1.0,Greater than 45,1 to 3,M
406,1,0.0,0.0,Less than 25,More than 3,F
407,1,0.0,1.0,25 to 45,More than 3,M
408,1,0.0,0.0,Less than 25,More than 3,M
409,1,0.0,1.0,Less than 25,0,F
410,0,0.0,0.0,25 to 45,1 to 3,M
411,1,0.0,0.0,25 to 45,More than 3,F
412,1,0.0,0.0,25 to 45,0,F
413,0,0.0,1.0,25 to 45,1 to 3,F
414,1,1.0,1.0,Greater than 45,More than 3,M
415,0,0.0,0.0,Greater than 45,More than 3,F
416,1,0.0,0.0,Less than 25,0,M
417,0,0.0,0.0,Less than 25,0,F
418,1,1.0,0.0,25 to 45,More than 3,F
419,0,0.0,1.0,Greater than 45,0,M
420,0,0.0,0.0,Less than 25,0,M
421,1,0.0,0.0,Less than 25,More than 3,M
422,0,0.0,0.0,Greater than 45,0,F
423,0,0.0,0.0,Greater than 45,0,M
424,1,0.0,0.0,Greater than 45,More than 3,M
425,0,0.0,0.0,25 to 45,1 to 3,M
426,1,0.0,0.0,25 to 45,More than 3,F
427,0,0.0,1.0,Greater than 45,1 to 3,M
428,0,0.0,0.0,25 to 45,1 to 3,F
429,1,0.0,0.0,25 to 45,1 to 3,F
430,0,0.0,0.0,25 to 45,More than 3,F
431,0,0.0,1.0,25 to 45,More than 3,M
432,1,0.0,0.0,25 to 45,More than 3,F
433,1,0.0,1.0,Greater than 45,More than 3,F
434,0,0.0,1.0,25 to 45,More than 3,F
435,0,1.0,1.0,25 to 45,1 to 3,F
436,1,0.0,0.0,25 to 45,More than 3,F
437,1,0.0,1.0,Less than 25,0,F
438,0,0.0,1.0,25 to 45,0,M
439,0,0.0,0.0,25 to 45,1 to 3,F
440,1,0.0,0.0,Less than 25,1 to 3,F
441,0,1.0,0.0,Less than 25,0,M
442,0,0.0,0.0,25 to 45,1 to 3,F
443,1,0.0,0.0,25 to 45,More than 3,F
444,0,0.0,1.0,25 to 45,More than 3,F
445,0,1.0,1.0,25 to 45,1 to 3,M
446,0,1.0,0.0,25 to 45,1 to 3,M
447,1,0.0,0.0,25 to 45,0,M
448,0,0.0,0.0,25 to 45,More than 3,F
449,1,0.0,0.0,25 to 45,More than 3,F
450,0,1.0,1.0,Greater than 45,0,M
451,0,1.0,1.0,25 to 45,1 to 3,M
452,1,0.0,0.0,25 to 45,More than 3,M
453,1,0.0,0.0,25 to 45,More than 3,F
454,0,1.0,0.0,Greater than 45,More than 3,M
455,0,0.0,0.0,25 to 45,0,F
456,0,0.0,0.0,Greater than 45,More than 3,M
457,1,0.0,0.0,Greater than 45,0,F
458,0,1.0,1.0,25 to 45,1 to 3,M
459,0,0.0,0.0,25 to 45,More than 3,F
460,0,0.0,1.0,25 to 45,1 to 3,M
461,1,0.0,1.0,Greater than 45,More than 3,F
462,1,0.0,0.0,25 to 45,More than 3,F
463,1,0.0,0.0,Less than 25,0,F
464,1,0.0,0.0,25 to 45,More than 3,F
465,0,0.0,0.0,25 to 45,0,F
466,1,1.0,0.0,25 to 45,More than 3,F
467,0,1.0,0.0,25 to 45,1 to 3,F
468,0,0.0,0.0,25 to 45,More than 3,F
469,0,1.0,0.0,25 to 45,0,F
470,0,1.0,0.0,Greater than 45,1 to 3,M
471,0,1.0,1.0,Less than 25,1 to 3,F
472,0,0.0,1.0,25 to 45,1 to 3,F
473,0,0.0,0.0,Less than 25,0,F
474,0,0.0,1.0,25 to 45,1 to 3,M
475,1,0.0,0.0,25 to 45,More than 3,F
476,0,0.0,1.0,25 to 45,0,F
477,0,1.0,1.0,Less than 25,0,F
478,0,0.0,1.0,Less than 25,1 to 3,F
479,1,0.0,0.0,Less than 25,0,F
480,0,0.0,0.0,25 to 45,1 to 3,F
481,1,0.0,1.0,25 to 45,1 to 3,F
482,0,1.0,1.0,Greater than 45,0,F
483,0,0.0,0.0,Greater than 45,More than 3,F
484,0,0.0,1.0,25 to 45,1 to 3,F
485,0,0.0,0.0,Greater than 45,1 to 3,M
486,0,0.0,1.0,25 to 45,0,M
487,0,1.0,0.0,Less than 25,0,F
488,0,0.0,0.0,Less than 25,0,F
489,1,0.0,0.0,25 to 45,More than 3,F
490,0,0.0,1.0,Greater than 45,1 to 3,F
491,1,0.0,0.0,25 to 45,1 to 3,F
492,1,0.0,0.0,25 to 45,1 to 3,F
493,0,0.0,1.0,Less than 25,1 to 3,F
494,0,0.0,0.0,25 to 45,More than 3,F
495,1,0.0,1.0,25 to 45,More than 3,F
496,1,0.0,1.0,Less than 25,0,F
497,0,0.0,0.0,25 to 45,More than 3,M
498,1,0.0,0.0,Less than 25,1 to 3,F
499,0,0.0,0.0,Less than 25,0,M
500,0,0.0,1.0,25 to 45,0,M
501,1,0.0,1.0,25 to 45,More than 3,F
502,1,0.0,1.0,Less than 25,0,M
503,0,0.0,0.0,25 to 45,0,F
504,1,0.0,0.0,Less than 25,0,F
505,0,0.0,0.0,Greater than 45,More than 3,F
506,0,0.0,0.0,Greater than 45,1 to 3,F
507,0,0.0,0.0,Less than 25,0,F
508,1,0.0,0.0,25 to 45,More than 3,F
509,0,0.0,0.0,Less than 25,1 to 3,F
510,0,0.0,0.0,Less than 25,1 to 3,F
511,1,0.0,0.0,25 to 45,More than 3,F
512,1,0.0,1.0,25 to 45,More than 3,F
513,0,0.0,1.0,25 to 45,1 to 3,F
514,0,0.0,0.0,Less than 25,0,F
515,0,0.0,0.0,Less than 25,1 to 3,F
516,1,0.0,1.0,25 to 45,1 to 3,F
517,0,0.0,0.0,25 to 45,0,M
518,1,0.0,0.0,25 to 45,1 to 3,M
519,0,0.0,1.0,Less than 25,0,F
520,1,0.0,0.0,Less than 25,0,F
521,1,0.0,0.0,25 to 45,More than 3,M
522,1,0.0,0.0,25 to 45,More than 3,M
523,1,0.0,0.0,25 to 45,More than 3,M
524,1,1.0,0.0,Less than 25,1 to 3,F
525,1,0.0,1.0,25 to 45,More than 3,F
526,0,0.0,0.0,25 to 45,More than 3,F
527,0,0.0,1.0,Less than 25,0,F
528,1,1.0,0.0,25 to 45,1 to 3,F
529,1,1.0,0.0,25 to 45,More than 3,M
530,0,0.0,0.0,25 to 45,1 to 3,M
531,0,0.0,0.0,Less than 25,0,F
532,1,0.0,1.0,Greater than 45,0,M
533,0,0.0,0.0,Greater than 45,1 to 3,F
534,0,0.0,0.0,25 to 45,More than 3,M
535,0,0.0,1.0,Greater than 45,0,F
536,1,0.0,0.0,Greater than 45,More than 3,F
537,1,0.0,0.0,25 to 45,More than 3,F
538,0,0.0,0.0,25 to 45,More than 3,F
539,1,0.0,1.0,25 to 45,1 to 3,F
540,0,0.0,0.0,25 to 45,1 to 3,F
541,0,1.0,1.0,Greater than 45,0,F
542,0,0.0,0.0,25 to 45,More than 3,M
543,0,0.0,1.0,25 to 45,0,M
544,0,1.0,1.0,Greater than 45,More than 3,F
545,0,0.0,1.0,25 to 45,0,F
546,0,1.0,0.0,Less than 25,1 to 3,F
547,0,0.0,0.0,25 to 45,1 to 3,F
548,0,0.0,1.0,Greater than 45,0,M
549,1,0.0,1.0,25 to 45,1 to 3,F
550,1,0.0,0.0,25 to 45,More than 3,F
551,0,0.0,0.0,Less than 25,1 to 3,F
552,1,0.0,1.0,25 to 45,More than 3,F
553,1,0.0,0.0,Less than 25,0,M
554,1,0.0,0.0,Less than 25,0,F
555,1,0.0,1.0,Less than 25,0,M
556,0,1.0,0.0,Greater than 45,0,M
557,1,0.0,1.0,25 to 45,1 to 3,F
558,0,0.0,1.0,Less than 25,0,F
559,0,0.0,0.0,25 to 45,1 to 3,F
560,1,0.0,0.0,25 to 45,More than 3,F
561,0,1.0,0.0,25 to 45,More than 3,F
562,1,0.0,0.0,25 to 45,More than 3,F
563,1,0.0,0.0,Less than 25,More than 3,F
